Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1483610400,1/5/2017 10:00,BTCUSD,1092.19,1110.96,1078.12,1102.89,25.46431409
1483614000,1/5/2017 11:00,BTCUSD,1102.89,1111.08,1084.45,1102.81,15.71443939
1483617600,1/5/2017 12:00,BTCUSD,1102.81,1102.81,975.01,980.01,244.0624761
1483621200,1/5/2017 13:00,BTCUSD,980.01,1008.75,879,966.31,402.5766835
1483624800,1/5/2017 14:00,BTCUSD,966.31,966.31,949.58,959.72,113.8285425
1483628400,1/5/2017 15:00,BTCUSD,959.72,993.19,950,993.18,857.9674298
1483632000,1/5/2017 16:00,BTCUSD,993.18,993.18,937.31,956.08,393.78666
1483635600,1/5/2017 17:00,BTCUSD,956.08,971.2,954.53,964.9,116.6794897
1483639200,1/5/2017 18:00,BTCUSD,964.9,985,964.9,982.94,26.45190844
1483642800,1/5/2017 19:00,BTCUSD,982.94,986,959.05,962.45,184.2557589
1483646400,1/5/2017 20:00,BTCUSD,962.45,977.29,950.81,968.15,191.1351369
1483650000,1/5/2017 21:00,BTCUSD,968.15,975,954.07,975,1394.69843
1483653600,1/5/2017 22:00,BTCUSD,975,1010,974.71,1009.99,999.6468922
1483657200,1/5/2017 23:00,BTCUSD,1009.99,1019.99,988.35,1004.84,203.8222439
1483660800,1/6/2017 0:00,BTCUSD,1004.84,1015.49,998.82,1015.49,422.4933475
1483664400,1/6/2017 1:00,BTCUSD,1015.49,1025.56,1013.67,1020,209.2894471
1483668000,1/6/2017 2:00,BTCUSD,1020,1020,963.02,963.02,329.1815743
1483671600,1/6/2017 3:00,BTCUSD,963.02,987.95,951.01,987.95,246.2232432
1483675200,1/6/2017 4:00,BTCUSD,987.95,989.27,975.75,976.45,187.2811102
1483678800,1/6/2017 5:00,BTCUSD,976.45,986.27,976.45,979.04,232.0282654
1483682400,1/6/2017 6:00,BTCUSD,979.04,984.99,976.42,983.41,418.565223
1483686000,1/6/2017 7:00,BTCUSD,983.41,985.77,980.68,985.77,60.05714177
1483689600,1/6/2017 8:00,BTCUSD,985.77,985.77,946.38,955.21,864.2625655
1483693200,1/6/2017 9:00,BTCUSD,955.21,957.92,911,929.36,413.0868389
